filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,11/16 (68.75%),4.18,0.75,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,11/16 (68.75%),4.18,0.75,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,18.18%,11/16 (68.75%),4.18,0.75,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),5,45.45%,11/16 (68.75%),4.18,0.75,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,36.36%,11/16 (68.75%),4.18,0.75,4.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),1,9.09%,11/16 (68.75%),4.27,1.19,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,11/16 (68.75%),4.27,1.19,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,11/16 (68.75%),4.27,1.19,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,36.36%,11/16 (68.75%),4.27,1.19,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),6,54.55%,11/16 (68.75%),4.27,1.19,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,11/16 (68.75%),4.45,0.69,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,11/16 (68.75%),4.45,0.69,5.00
KOREAN-101-001_Yang__Seojin_Spring_2024.html,Spring 2024,KOREAN-101-001 : ELEMENTARY KOREAN.KOREAN-101-001.,Seojin Yang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),1,9.09%,11/16 (68.75%),4.45,0.69,5.00
