class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3088,BIOCHEM,301,01,Introductory Biochemistry I: Intermediary Metabolism,"Chemistry of the constituents of proteins, lipids, carbohydrates, and nucleic acids and their metabolic interrelationships. Recommended prerequisite: BIOLOGY 201L and two semesters of organic chemistry.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,300,254,46,0,300,Graded,Y,Brian Coggins
3090,BIOCHEM,302,001,Introductory Biochemistry II,"Structure, function, and biosynthesis of biological macromolecules and regulation of their synthesis. Intermediary metabolism and metabolic utilization of energy. Biochemistry of biological membranes, receptors, and signal transduction via membrane receptors. Prerequisite: organic chemistry and Biochemistry 301.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,75,20,55,0,75,Graded,N,Terrence G Oas
3091,BIOCHEM,302,01R,Introductory Biochemistry II,"Structure, function, and biosynthesis of biological macromolecules and regulation of their synthesis. Intermediary metabolism and metabolic utilization of energy. Biochemistry of biological membranes, receptors, and signal transduction via membrane receptors. Prerequisite: organic chemistry and Biochemistry 301.",,0,REC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,75,20,55,0,75,Graded,N,Terrence G Oas
3097,BIOCHEM,393,01,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Meta Kuehn
9311,BIOCHEM,393,02,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Lorena S Beese
9312,BIOCHEM,393,03,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Michael Boyce
9313,BIOCHEM,393,04,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Richard G Brennan
9314,BIOCHEM,393,05,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Shuo Han
9315,BIOCHEM,393,06,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Seok-Yong Lee
9316,BIOCHEM,393,07,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Robert J Lefkowitz
9317,BIOCHEM,393,08,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Kathryn D Meyer
9318,BIOCHEM,393,09,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Terrence G Oas
9319,BIOCHEM,393,10,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Maria A Schumacher
9320,BIOCHEM,393,11,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,1,2,0,3,Graded,N,Huanghe Yang
9321,BIOCHEM,393,12,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Kenichi Yokoyama
9322,BIOCHEM,393,13,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Pei Zhou
9323,BIOCHEM,393,14,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, the major product of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to first-year students and sophomores with consent of supervising instructor.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,3,0,3,0,3,Graded,N,Priyamvada Acharya
